horizon_d,model,n,RMSE,ubRMSE,MAE,bias,R,R2
1,persistence,3649,0.01764768327864747,0.017647682254018932,0.008709431586146394,-6.013704255390358e-06,0.9649573162544889,0.9299310575540105
1,climatology,3649,0.06643686868860706,0.06590498002155847,0.054195767900980095,-0.00838994216340006,0.25850372093077795,0.006956047538971499
1,SVR,3649,0.021028461632463604,0.02102005185695981,0.012555276497194722,-0.0005946583546157513,0.9495981223544924,0.9005132678739816
1,XGBoost,3649,0.014231801963165286,0.01422635765688779,0.0073897909399520114,-0.00039361775501801493,0.9769678246288201,0.9544309531604144
7,persistence,3613,0.04620873287872423,0.04620869684334983,0.03264102688223794,-5.7708722751704456e-05,0.7603180233985953,0.5203896500050509
7,climatology,3613,0.06592222585411413,0.06522612536215551,0.053687747026612456,-0.009554707311121855,0.27770832843282156,0.023877883169591385
7,SVR,3613,0.05073685922721196,0.05003165823386748,0.0377446991085974,-0.008429831469928881,0.6981269131869852,0.42178735319198013
7,XGBoost,3613,0.042965261104328176,0.042686328707447305,0.031562832096204925,-0.004887842391368146,0.7697949558487706,0.5853560450876005
30,persistence,3475,0.06535006327149327,0.0653030603843931,0.0494941658031948,0.0024781190488922266,0.5233935909964851,0.041648136013794024
30,climatology,3475,0.06586718896428119,0.06524483466672575,0.053800524167518536,-0.009033168401394266,0.26998960160831437,0.026420937065985695
30,SVR,3475,0.07085011175370895,0.06942234115879091,0.05617092445579084,-0.014151921549580913,0.4229634475902956,-0.1264555167867738
30,XGBoost,3475,0.059878231086300054,0.05947607319035308,0.04816963680798359,-0.00692815097122704,0.5015507280661846,0.19541692784766407
